Superheading,Heading,Sub-Heading,Resource Links,Actual URL,Info,,
,,,Web-8,https://youtu.be/IR62ujCMgS8,,,
,,,,,,,
,4. MATH FOUNDATIONS FOR MACHINE LEARNING (AIMLC ZC416),,,,,,
,,"Books	",,,,,
,,,ADVANCED-ENG-MATH-BY-H.K-DASS file,https://tinyurl.com/2cztxlbp,,,
,,,Ref_Adv Eng Math_KreysZIG file,https://tinyurl.com/2y9zbovm,,,
,,,Ref_Charu C. Aggarwal - Linear Algebra and Optimization file,https://tinyurl.com/252mgr66,,,
,,,mathematics for Machine Learning_Deisenroth file,https://tinyurl.com/2blq2zeo,,,
,,,,,,,
,,"Lectures PPT	",,,,,
,,,All Lectures (Sec A) file,https://tinyurl.com/2adwewhu,,,
,,,All Lectures (Sec B) file,https://tinyurl.com/27u4gxz9,,,
,,,,,,,
,,"Lecture Videos	(Sec-A)",,,,,
,,,Lecture-1,https://youtu.be/gTPUgOy-qSM,,,
,,,Lecture-2,https://youtu.be/yVianwimGxY,,,
,,,Lecture-3,https://youtu.be/w3ZUsLCLpL4,,,
,,,Lecture-4,https://youtu.be/NlaHK6NkF7k,,,
,,,Lecture-5,https://youtu.be/uOOFkC0c67s,,,
,,,Lecture-6,https://youtu.be/FaCXg1iOty4,,,
,,,Lecture-7,https://youtu.be/RAlFue4CjHU,,,
,,,Lecture-8,https://youtu.be/MUJuSqqp4iM,,,
,,,Lecture-9,https://youtu.be/1JdAVYWB_Uw,,,
,,,Lecture-10,https://youtu.be/RLXmMJXqaf0,,,
,,,Lecture-11,https://youtu.be/4CE6nGshF8k,,,
,,,Lecture-12,https://youtu.be/EJDekZlIlBI,,,
,,,Lecture-13,https://youtu.be/4evhjYHFyLQ,,,
,,,Lecture-14,https://youtu.be/aEsrVLJcGhY,,,
,,,Webinar-1,https://youtu.be/sJArRXwC6IU,,,
,,,Webinar-2,https://youtu.be/rhvEbubtNXQ,,,
,,,Webinar-3,https://youtu.be/HTx4q9mJULY,,,
,,,Webinar-4,https://youtu.be/03iwpnqELoI,,,
,,,,,,,
,,"Lecture Videos	(Sec-B)",,,,,
,,,Lecture-1,https://youtu.be/IO0-YAqQx7c,,,
,,,Lecture-2,https://youtu.be/F3c64e28agE,,,
,,,Lecture-3,https://youtu.be/ZZR2U6vyAR0,,,
,,,Lecture-4,https://youtu.be/pGdmMwSGF_4,,,
,,,Lecture-5,https://youtu.be/6ewf35l0_NI,,,
,,,Lecture-6,https://youtu.be/3ipTj_YEKjw,,,
,,,Lecture-7,https://youtu.be/4FnAInxNuWQ,,,
,,,Lecture-8,https://youtu.be/2eVolg6d0EA,,,
,,,Lecture-9,https://youtu.be/V6GeNfcQ8tg,,,
,,,Lecture-10,https://youtu.be/kvWUo2Ib1nw,,,
,,,Lecture-11,https://youtu.be/sxQQGewCzh0,,,
,,,Lecture-12,https://youtu.be/Vu2lEwLeB7Y,,,
,,,Lecture-13,https://youtu.be/PnDNVPgXVMc,,,
,,,Lecture-14,https://youtu.be/s169q7FkLz8,,,
,,,Lecture-15,https://youtu.be/tRY9Xv7CXEk,,,
,,,Lecture-16,https://youtu.be/LMnADVIw5bQ,,,
,,,Webinar-1,https://youtu.be/jnU_uwiO6eU,,,
,,,Webinar-2,https://youtu.be/Hf8Rk3s68l4,,,
,,,Webinar-3,https://youtu.be/IWmcCWTYcZI,,,
,,,Webinar-4,https://youtu.be/h0zMevFjUi0,,,
,,,,,,,
SEM2,,,,,,,
,1. DEEP REINFORCEMENT LEARNING (AIMLC ZG512),,,,,,
,,"Books	",,,,,
,,,Reinforcement Learning …. Richard S. Sutton file,https://tinyurl.com/29s8uy44,,,
,,,Foundations-of-dee..-theo.pdf file,https://tinyurl.com/2xjzb2mc,,,
,,,Info link-3,,,,
,,"Lectures PPT	",,,,,
,,,All Lectures (Sangeetha)pdf file,https://tinyurl.com/2257yjoq,,,
,,,,,,,
,,Lecture Videos (Sangeetha),,,,,
,,,Lecture-1  (21st May),https://youtu.be/Lzl5GohzKOA,,,
,,,Lecture-2 (28th May),https://youtu.be/7DnaBVaqZds,,,
,,,Lecture-3 (4th June),https://youtu.be/uOBlRHzw_Sg,,,
,,,Lecture-4 (11st June),https://youtu.be/ACo_FoTs_2k,,,
,,,Lecture-5 (18th June),https://youtu.be/S8XREFH2lIc,,,
,,,Lecture-6 (25th June),https://youtu.be/YJNy8HhJ_WE,,,
,,,Lecture-7 (9th July),https://youtu.be/sxGAV9YE1Ng,,,
,,,Lecture-8 ,https://youtu.be/sXpMXwLVJ_U,,,
,,,Lecture-9 (13 Aug),https://youtu.be/eI-q2B-83T0,,,
,,,Lecture-10 (20th Aug),https://youtu.be/bfhBJBXabIQ,,,
,,,Lecture-11 (27th Aug_Vimal),https://youtu.be/4oqmaiC5m2s,,,
,,,Lec-12 (3rd Sep_Vimal),https://youtu.be/SW0hjGWJY-E,,,
,,,Lecture-13 (10th Sep),https://youtu.be/oBcwGsXEj0A,,,
,,,Lecture-14 (17th Sep),https://youtu.be/iD5BBydpGCU,,,
,,,Lecture-15 (24th Sep),https://youtu.be/jClTtr22doU,,,
,,,Lecture-16 (30th Sep),https://youtu.be/-ETZdloTrNw,,,
,,Lecture Videos (Vimal),,,,,
,,,Lecture-1 (20th May),https://youtu.be/8y4uOjITHK8,,,
,,,Lecture-2 (27th May),https://youtu.be/nrvOEduYDaw,,,
,,,Lecture-3 (3rd June),https://youtu.be/5xG56aQI1CM,,,
,,,Lecture-4 (10th June),,,,
,,,Lecture-5 (17th June),https://youtu.be/K3P1CTrpbkQ,,,
,,,Lecture-6 (24th June),https://youtu.be/qWx9H7vB4xg,,,
,,,Lecture-7 (1st July),https://youtu.be/wCx43HSwG6E,,,
,,,Lecture-8 (8th July),https://youtu.be/E67W06vzFvU,,,
,,,Lecture-9 (19th Aug),https://youtu.be/qPiXO-1yP6g,,,
,,,Lecture-10 (26th Aug),https://youtu.be/rRuh1X_f2CA,,,
,,,Lecture-11 (2 Sep),https://youtu.be/m91hmKznP1E,,,
,,,Lecture-12 (9 Sep),https://youtu.be/4LOjh0zbuAc,,,
,,,Lecture-13 (16 Sep),https://youtu.be/PU44IUDQNrE,,,
,,,Lecture-14 (23 Sep),https://youtu.be/4ParZkHRqYk,,,
,,,,,,,
,,DRL Webinar (Common),,,,,
,,,Webinar-1 (23rd June),https://youtu.be/n4KSHrr0Z5A,,,
,,,Webinar-2 (10 July),https://youtu.be/ShVdVJ61eyY,,,
,,,Webinar-3 (23 Aug),https://youtu.be/lOGNc08jino,,,
,,,Webinar-4 (6 Sep),https://youtu.be/CcI1J4npV_g,,,
,"		",,,,,,
,2. DATA MGMT FOR MACHINE LEARNING (AIMLC ZG529),,,,,,
,,"Books	",,,Chandan:git,,
,,,Data Engineering_Paul..pdf file,https://tinyurl.com/2ddn6ah2,,,
,,,Designing data-...O'Reilly Media (2018)..pdf file,https://tinyurl.com/2cdqdh7s,,,
,,,Data Pipelines Pocket..James Densmore -O'Reilly Media (2021) pdf file,https://tinyurl.com/24la2sqp,,,
,,,"H.Hapke, C.Nelson - Building Machine Learning Pipelines...O'Reilly Media (2020) pdf file",https://tinyurl.com/26brqz8k,,,
,,,"Joe Reis, Matt Housley- Fundamentals of Data Engineering...-O'Reilly Media (2022) pdf file",https://tinyurl.com/2bze4ztm,,,
,,,"C.Chen, N.Murphy, K.Parisa, D.Sculley, T.Underwo pdf file",https://tinyurl.com/28xk2ocz,,,
,,"Lectures PPT	",,,Chandan:git,,
,,,All Classes pdf file,https://tinyurl.com/26t8hc2a,,,
,,,,,,,
